,index,Station,Date,Time,Precip,type,Air max,min,obs,Wx,Wind dir,speed,Bulb wet,dry,Soil max,min.1,Evap,Solar,ETo,RH max,min.2
SAN_DIEGO.A,1,20020101,2359,0.0,,63,45,,,,,,,59.0,55.0,,204,,,,
SAN_DIEGO.A,2,20020102,2359,0.0,,63,52,,,,,,,59.0,57.0,,202,,,,
SAN_DIEGO.A,3,20020103,2359,0.08,,64,52,,,,,,,60.0,57.0,,275,,,,
SAN_DIEGO.A,4,20020104,2359,0.0,,67,47,,,,,,,60.0,56.0,,282,,,,
SAN_DIEGO.A,5,20020105,2359,0.0,,70,43,,,,,,,58.0,54.0,,290,,,,
SAN_DIEGO.A,6,20020106,2359,0.0,,70,43,,,,,,,58.0,53.0,,273,,,,
SAN_DIEGO.A,7,20020107,2359,0.0,,75,48,,,,,,,59.0,54.0,,270,,,,
SAN_DIEGO.A,8,20020108,2359,0.0,,74,47,,,,,,,59.0,54.0,,304,,,,
SAN_DIEGO.A,9,20020109,2359,0.0,,63,49,,,,,,,59.0,56.0,,206,,,,
SAN_DIEGO.A,10,20020110,2359,0.0,,65,44,,,,,,,59.0,55.0,,305,,,,
SAN_DIEGO.A,11,20020111,2359,0.0,,80,44,,,,,,,58.0,53.0,,329,,,,
SAN_DIEGO.A,12,20020112,2359,0.0,,80,44,,,,,,,58.0,53.0,,333,,,,
SAN_DIEGO.A,13,20020113,2359,0.0,,70,38,,,,,,,57.0,51.0,,331,,,,
SAN_DIEGO.A,14,20020114,2359,0.01,,62,42,,,,,,,58.0,53.0,,269,,,,
SAN_DIEGO.A,15,20020115,2359,0.0,,58,52,,,,,,,57.0,55.0,,95,,,,
SAN_DIEGO.A,16,20020116,2359,0.0,,61,44,,,,,,,59.0,55.0,,286,,,,
SAN_DIEGO.A,17,20020117,2359,0.0,,63,38,,,,,,,57.0,52.0,,327,,,,
SAN_DIEGO.A,18,20020118,2359,0.0,,62,40,,,,,,,56.0,51.0,,328,,,,
SAN_DIEGO.A,19,20020119,2359,0.0,,65,38,,,,,,,56.0,50.0,,300,,,,
SAN_DIEGO.A,20,20020120,2359,0.0,,63,38,,,,,,,56.0,51.0,,340,,,,
SAN_DIEGO.A,21,20020121,2359,0.0,,65,38,,,,,,,55.0,50.0,,346,,,,
SAN_DIEGO.A,22,20020122,2359,0.0,,58,47,,,,,,,56.0,52.0,,199,,,,
SAN_DIEGO.A,23,20020123,2359,0.0,,61,40,,,,,,,56.0,51.0,,345,,,,
SAN_DIEGO.A,24,20020124,2359,0.0,,66,35,,,,,,,54.0,49.0,,365,,,,
SAN_DIEGO.A,25,20020125,2359,0.0,,71,38,,,,,,,55.0,49.0,,344,,,,
SAN_DIEGO.A,26,20020126,2359,0.0,,64,41,,,,,,,55.0,50.0,,290,,,,
SAN_DIEGO.A,27,20020127,2359,0.0,,60,46,,,,,,,55.0,52.0,,186,,,,
SAN_DIEGO.A,28,20020128,2359,0.3,,56,45,,,,,,,56.0,53.0,,204,,,,
SAN_DIEGO.A,29,20020129,2359,0.51,,52,36,,,,,,,55.0,50.0,,255,,,,
SAN_DIEGO.A,30,20020130,2359,0.04,,55,31,,,,,,,52.0,48.0,,389,,,,
SAN_DIEGO.A,31,20020131,2359,0.0,,60,34,,,,,,,54.0,51.0,,401,,,,
